a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
5,1,9,0.82703435,1.416,-4.1660399,4,454.599,0
4,2,8,0.78978491,6.678,-5.3916798,5,490.59998,0
4,0,8,0.7633481,2.816,-3.2132599,3,401.55099,0
4,2,7,0.8336758,1.719,-4.0163999,3,389.52399,0
3,2,3,0.78808117,2.329,-2.7665401,2,238.33099,0
4,3,6,0.79425281,4.3930001,-5.2740598,5,421.54099,0
2,1,5,0.71059269,5.4949999,-4.7882299,1,290.44699,0
2,2,5,0.71059269,5.4310002,-4.8729901,1,292.46298,0
3,0,4,0.80818921,2.3150001,-4.1950898,1,249.334,0
2,1,6,0.71351749,4.3080001,-5.31318,1,250.38199,0
4,2,5,0.80317402,0.198,-1.76176,2,290.371,0
6,2,3,0.82044029,2.2019999,-3.9051099,5,407.474,0
4,4,11,0.86768979,2.4949999,-4.1936302,2,459.418,0
4,4,10,0.87627012,2.5090001,-4.2427402,2,445.39099,0
4,3,10,0.78251684,1.5700001,-3.5296299,4,419.61398,0
4,3,10,0.87863761,2.171,-4.1843801,2,431.36398,0
4,4,10,0.80061412,2.1289999,-4.0110102,3,401.51099,0
5,3,13,0.78177953,4.7140002,-5.3724899,5,579.78601,0
4,2,8,0.88425106,1.336,-3.3903899,2,401.42899,0
2,2,2,1.2912509,8.0459995,-8.1693602,2,543.875,0
3,2,5,0.87569201,1.6720001,-3.553,4,347.36499,0
1,1,1,1.1678957,1.97308,-2.4501801,0,177.45799,0
3,1,3,0.75385743,1.817,-1.9996901,2,235.327,0
5,2,7,0.80242187,4.1240001,-5.97334,5,480.52399,0
5,2,6,0.81316549,3.378,-5.73002,5,456.50198,0
6,1,9,0.84091938,4.1486602,-4.0623202,4,456.48898,0
5,1,9,0.83859348,4.7116599,-4.0241199,4,456.48898,0
5,2,6,0.79579467,3.161,-5.3967299,5,440.50299,0
5,1,9,0.87113386,4.9526601,-4.1854801,4,476.54398,0
6,4,13,0.84576106,3.5869999,-4.9195499,3,517.573,0
5,5,13,0.89226657,3.2130001,-5.4296799,3,552.61798,0
6,4,13,0.91604936,3.9990001,-5.8044901,3,571.54297,0
6,4,13,0.84576106,3.5869999,-4.9195499,3,517.573,0
2,1,5,0.86239851,3.4119999,-3.42205,2,315.24399,0
2,1,4,0.71219939,2.9719999,-2.1783099,1,207.317,0
5,1,5,0.76798695,1.77,-1.3276401,3,327.42798,0
5,5,9,0.81893754,1.306,-2.63656,1,308.37799,0
2,2,9,0.80202913,3.7160001,-4.1877799,0,264.50201,0
4,3,3,0.81611931,3.973,-6.1608,4,362.38498,0
3,1,3,0.74670941,3.401,-4.2690401,3,292.38599,0
4,1,4,0.75442952,3.7030001,-5.8707299,4,355.44501,0
2,1,5,0.83037001,4.6100001,-3.9774101,3,351.41599,0
4,3,8,0.79941881,2.5680001,-4.99369,4,389.46298,0
5,3,10,0.89172006,3.4367599,-4.74652,4,524.60797,0
6,3,9,0.88970417,3.24576,-5.4576502,5,548.63397,0
4,1,9,0.79939073,6.63692,-4.8261399,5,513.677,0
2,1,5,0.79476911,3.421,-3.1680801,2,294.82599,0
6,3,13,0.85309666,2.4360001,-4.3680801,4,547.67297,0
4,3,5,0.80153173,-0.50999999,-1.1842901,2,275.35999,0
4,2,5,0.81227314,-0.20100001,-1.55999,2,276.34399,0
