a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight
13,7,9,1.0225024,-6.6012602,0.35868001,3,464.384
14,8,12,0.95348734,-5.2509999,-1.34578,4,569.52399
14,8,12,0.95348734,-5.2509999,-1.34578,4,569.52399
13,7,12,0.97979796,-5.381,0.07322,3,506.465
13,7,14,0.95636028,-4.4970002,-0.64376998,3,534.51898
22,14,28,0.96809483,-9.8710003,0.085210003,4,911.86896
13,7,10,0.99290705,-5.895,0.27498999,3,492.43799
13,7,10,0.97979796,-5.539,0.07322,3,506.465
13,7,9,0.97117329,-4.527,-1.31696,4,526.45502
13,7,10,0.95998418,-4.3930001,-1.38278,4,540.48199
14,9,18,0.97368318,-7.3470001,0.47768,2,548.50598
13,8,15,0.99470341,-6.9770002,0.70457,2,505.43698
14,7,12,1.0042032,-6.93152,0.21604,3,508.43698
13,3,18,0.95695275,-4.65378,-1.99552,3,646.55896
8,3,9,0.90799212,-1.758,-1.6323299,3,398.41599
14,1,23,0.82831025,3.77722,-8.3938904,8,880.948
13,3,22,0.83008254,2.59022,-7.9755602,7,838.91101
14,1,25,0.83201998,4.54322,-8.7905598,8,910.974
13,3,24,0.83393925,3.35622,-8.3722296,7,868.93695
7,3,8,0.8312847,1.22,-4.2396898,4,482.612
13,2,27,0.79788482,8.0162201,-12.68933,9,1077.3159
19,1,46,0.78871131,14.56418,-21.138969,14,1672.02
19,2,41,0.805309,9.1381798,-16.4252,12,1433.615
14,2,22,0.84636372,1.82074,-6.66328,7,831.87598
7,2,13,0.82328153,-0.81426001,-1.5519201,2,471.74899
9,3,14,0.90713882,-1.459,-2.41347,4,506.47198
9,3,9,0.95421773,-3.7019999,-0.087540001,3,372.33798
15,5,15,0.92718333,-3.411,-2.56127,6,680.62396
9,2,12,0.90184253,-0.76700002,-2.8994601,4,491.457
9,2,7,0.94818157,-3.01,-0.57353002,3,357.323
15,4,13,0.92354453,-2.7190001,-3.04726,6,665.60901
9,2,13,0.90184253,-1.141,-2.45417,4,491.457
9,2,8,0.94818157,-3.3840001,-0.12824,3,357.323
15,4,14,0.92354453,-3.0929999,-2.60197,6,665.60901
7,3,8,0.85547554,-0.373,-1.5736001,2,400.55099
