a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight
7,1,11,0.8491329,1.84354,-4.34056,3,419.422
4,2,8,0.92216152,5.5830002,-5.45789,3,493.422
3,2,8,0.91325074,5.2189999,-5.54072,3,492.43799
4,2,8,0.92216152,5.5440001,-5.45789,3,493.422
4,2,13,0.77675641,4.1199999,-5.1728301,2,456.58298
4,2,13,0.80824286,3.973,-4.9938898,2,460.54599
4,2,14,0.82685912,3.757,-5.48914,2,487.55298
7,4,5,0.89701551,-0.90399998,-2.12163,3,347.327
2,0,5,0.78050619,5.1149998,-5.6855898,5,370.561
5,5,2,0.88945162,-1.08894,-0.26460999,3,249.274
6,2,4,1.0569695,-0.71200001,-1.79772,2,340.26801
5,2,4,1.0537591,0.824,-3.71577,2,370.41101
4,2,6,0.75067925,6.138,-6.9542098,4,420.634
10,6,7,0.8227759,3.6040001,-6.7305899,8,716.79095
31,15,21,0.97071534,-3.599,-7.86801,14,1441.126
46,21,33,0.98475456,-6.7719402,-11.01743,19,2058.531
2,1,5,0.85459232,4.4120002,-6.8130698,4,359.39499
2,1,5,0.86802554,4.8509998,-7.2523799,4,375.85001
2,1,5,0.89251995,5.7290001,-8.1309996,4,408.75998
0,1,3,0.89591086,4.5079999,-5.38801,4,308.328
4,2,13,0.78620154,3.266,-4.25456,2,430.54498
4,2,14,0.78131157,3.3540001,-4.1364799,2,444.57199
4,2,13,0.81950563,4.414,-5.4331999,2,477.00098
4,2,12,0.80167979,1.9910001,-2.63432,1,368.474
5,3,16,0.79252398,2.3959999,-3.23633,1,425.56998
5,3,14,0.79822403,1.802,-2.84655,1,411.543
4,3,14,0.79444247,2.6530001,-4.0159898,2,445.56
4,3,14,0.78938043,2.951,-4.4899101,2,459.58698
5,3,15,0.80327845,2.609,-4.06637,2,475.586
4,3,14,0.89388299,3.451,-5.10638,2,524.45599
5,2,13,0.79580677,2.2409999,-3.07723,2,437.58099
6,2,13,0.79989684,0.792,-2.3698101,2,452.59598
5,3,15,0.78938043,2.7869999,-3.9600301,2,459.58698
8,7,4,0.95865625,2.622,-5.1370502,3,421.45401
16,13,8,0.99319756,4.6360002,-10.72528,6,771.78497
8,7,4,0.93831968,3.507,-6.8544598,4,457.487
8,7,4,0.95865625,2.622,-5.1370502,3,421.45401
5,5,9,0.75904143,5.3270001,-6.8561001,3,490.72498
5,5,9,0.75904143,5.3270001,-6.8561001,3,490.72498
10,1,21,0.85378188,7.6174798,-12.95257,8,931.99597
12,2,16,0.9103353,-2.0120001,-3.63662,4,658.62897
7,4,3,0.95749146,-1.78294,-1.37155,3,297.271
1,1,3,0.74472386,4.4159999,-4.70329,5,321.46399
2,2,3,0.74472386,4.7979999,-4.4394999,5,325.496
13,6,13,0.98545074,2.16048,-5.60571,8,741.409
7,0,11,0.77944154,7.1854801,-12.10005,6,696.83698
12,9,14,0.84612501,1.674,-4.4870901,5,729.896
7,4,9,0.91407174,-0.045000002,-1.8839,2,355.35098
13,11,11,1.1253284,-4.5739999,0.088019997,3,549.26697
4,2,2,0.94520742,-0.78200001,-1.18874,2,242.20599
4,2,2,0.94520742,-0.78200001,-1.18874,2,242.20599
4,1,11,0.8889401,6.448,-7.0937099,4,618.59302
13,8,6,1.1267318,-4.0929399,-0.53784001,3,427.203
18,10,10,1.0498221,-5.5598798,-2.4577,6,676.43298
5,2,12,0.85511082,8.4327602,-8.9560604,4,630.72797
5,3,11,0.81656027,6.0689998,-6.5899501,4,549.69202
6,0,25,0.82111263,5.0247402,-6.12042,0,522.61597
12,6,9,0.89346814,6.8319998,-11.534,6,676.69397
12,6,9,0.93479717,8.7135201,-12.75492,6,763.49701
12,6,9,0.90494889,8.87852,-13.23587,6,787.495
7,3,7,0.88320559,0.2518,-2.95118,3,363.314
7,3,7,0.87521732,0.2518,-2.95118,3,363.314
4,2,2,0.85557461,-0.59593999,-1.52276,2,193.20999
7,1,9,0.88342434,-0.52546,-2.2486999,2,343.32401
7,4,5,0.96690506,-1.59694,-0.90391999,2,287.216
7,3,7,0.88729006,0.2518,-2.95118,3,363.314
7,1,9,0.88342434,-0.52546,-2.2486999,2,343.32401
7,4,5,0.96690506,-1.59694,-0.90391999,2,287.216
7,3,7,0.88729006,0.2518,-2.95118,3,363.314
8,5,29,0.80255133,6.572,-8.39676,3,876.065
10,6,17,0.8136369,6.3699999,-10.4594,10,903.09399
6,2,5,0.85972434,1.056,-6.4148698,4,426.50101
7,1,8,0.80127245,4.3119998,-6.72438,6,526.59302
8,3,9,0.80911249,4.664,-6.7285299,6,541.60797
8,0,8,0.80685282,5.3631201,-8.8667498,7,551.60297
8,0,8,0.8024658,5.85712,-8.8590403,7,565.63
8,0,9,0.79438186,6.7021198,-9.2625799,7,593.68396
8,0,9,0.79203528,7.5191202,-11.55241,8,627.70099
8,3,3,1.0009362,-3.15488,-1.66829,3,269.21698
8,3,3,0.97738421,-2.6608801,-1.66058,3,283.24399
8,3,4,0.93860579,-1.8158799,-2.0641201,3,311.298
8,3,4,0.91476089,-0.99888003,-4.35395,4,345.315
6,5,13,0.80383337,4.3270001,-6.8646102,4,583.79401
7,0,10,0.88178056,3.24648,-6.8860502,12,661.46399
8,0,10,0.89519018,2.8014801,-7.1663799,12,676.45496
8,0,11,0.88905823,3.24348,-7.3681502,12,690.48199
7,0,12,0.87035805,4.1304798,-7.6030402,12,689.51801
7,1,16,0.88029432,1.6,-3.8996401,2,485.96899
7,1,17,0.82903844,2.4430001,-5.4323602,2,479.578
7,1,17,0.82903844,2.4430001,-4.4920101,2,479.578
6,1,17,0.84065837,3.079,-5.3412499,2,495.64499
6,1,16,0.84884906,2.569,-5.17452,2,467.54199
6,1,16,1.0021305,3.6059999,-6.6591001,2,575.448
6,1,16,0.85948575,3.0079999,-5.6161098,2,483.99698
6,1,16,0.92135251,3.214,-5.9443598,2,528.448
7,1,17,0.82903844,2.372,-4.9934702,2,479.578
6,1,18,0.83434939,3.5209999,-6.16992,2,509.672
6,1,17,0.80065334,4.3299999,-7.6205502,3,525.64996
8,1,17,0.84913403,1.474,-5.0169501,2,490.565
7,1,18,0.81270301,4.026,-6.69555,3,541.64899
7,1,16,0.83552647,1.9299999,-4.47825,2,465.55099
6,1,17,0.84065837,3.079,-5.6546998,2,495.64499
6,1,15,0.93110216,2.7720001,-5.4291401,2,514.42102
7,1,17,0.97155952,4.7740002,-7.1718502,3,653.51801
7,1,17,0.81777328,3.5840001,-6.1803298,3,527.62201
8,1,16,0.8562901,1.0319999,-4.50173,2,476.53799
6,1,17,0.83530331,3.9990001,-7.2771502,2,495.59598
6,1,17,0.90373975,4.6440001,-8.0469904,2,556.50201
6,1,15,0.8105306,3.4460001,-6.5901098,3,497.59598
3,0,1,0.74747354,5.7285299,-7.0095,6,450.66699
1,1,1,0.73737776,8.2379999,-9.9762096,7,487.728
13,11,8,1.1696626,-4.1009998,-0.15808,3,506.198
7,6,6,0.98709863,-1.3,-1.4019099,2,313.20599
9,4,5,1.034482,-1.9519399,-2.37183,4,387.245
4,1,12,0.81095451,3.415,-4.2167201,3,429.952
8,3,12,0.93918723,0.58399999,-3.7341199,3,547.448
8,3,12,0.93918723,0.58399999,-3.7341199,3,547.448
8,3,12,0.93918723,0.58399999,-3.7341199,3,547.448
8,3,12,0.92683619,1.4529999,-4.3885398,3,575.50201
8,3,12,0.93284345,1.046,-4.0613298,3,561.47498
8,3,12,0.93284345,1.046,-4.0613298,3,561.47498
8,3,12,0.96939325,0.81599998,-4.1233602,3,565.43799
8,3,12,0.94933826,1.6849999,-4.7777801,3,593.492
8,3,12,0.95588887,1.278,-4.4505701,3,579.46497
7,4,6,0.92495769,-0.14094,-1.31461,2,329.297
5,2,9,0.87835586,0.15606,-2.5763299,2,309.32599
5,2,9,0.86613786,0.61805999,-2.9035399,2,323.353
7,1,3,0.85003036,-2.2609999,-4.31599,4,358.40601
6,1,3,0.83209997,-1.003,-3.7115901,4,357.418
6,1,3,0.83209997,-1.003,-4.0250401,4,357.418
7,2,4,0.94256306,-1.3822401,-4.0988102,4,412.37198
7,1,3,0.85994464,-2.02141,-2.26178,4,344.379
6,0,4,1.034127,1.10376,-5.97718,4,475.26898
4,3,11,0.82729375,3.8629999,-3.53268,2,379.888
6,1,7,0.91710132,1.5048,-3.9189999,3,381.75998
8,3,25,0.78985292,5.6588001,-8.8203497,2,569.72797
8,3,25,0.79798281,5.6588001,-8.8203497,2,569.72797
8,3,25,0.7938813,5.6588001,-8.8203497,2,569.72797
8,3,25,0.79798281,5.6588001,-8.8203497,2,569.72797
8,3,25,0.79798281,5.6588001,-8.8203497,2,569.72797
8,3,25,0.80006158,5.6588001,-8.8203497,2,569.72797
8,3,25,0.80006158,5.6588001,-8.8203497,2,569.72797
8,3,25,0.79798281,5.6588001,-8.8203497,2,569.72797
8,3,25,0.80006158,5.6588001,-8.8203497,2,569.72797
8,3,25,0.79592282,5.6588001,-8.8203497,2,569.72797
8,3,25,0.79592282,5.6588001,-8.8203497,2,569.72797
8,3,25,0.7938813,5.6588001,-8.8203497,2,569.72797
8,3,25,0.78985292,5.6588001,-8.8203497,2,569.72797
8,3,25,0.7938813,5.6588001,-8.8203497,2,569.72797
8,3,25,0.7938813,5.6588001,-8.8203497,2,569.72797
8,3,25,0.78985292,5.6588001,-8.8203497,2,569.72797
8,3,25,0.78589559,5.6588001,-8.8203497,2,569.72797
8,3,25,0.78200758,5.6588001,-8.8203497,2,569.72797
8,3,25,0.78985292,5.6588001,-8.8203497,2,569.72797
8,3,25,0.78589559,5.6588001,-8.8203497,2,569.72797
8,3,25,0.78985292,5.6588001,-8.8203497,2,569.72797
8,3,25,0.78200758,5.6588001,-8.8203497,2,569.72797
8,3,25,0.7938813,5.6588001,-8.8203497,2,569.72797
8,3,25,0.78008896,5.6588001,-8.8203497,2,569.72797
8,3,25,0.73702294,5.6588001,-8.8203497,2,569.72797
8,3,25,0.77443212,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72064281,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72791684,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72351933,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72643977,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72643977,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72351933,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72351933,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72351933,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72064281,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72064281,5.6588001,-8.8203497,2,569.72797
8,3,25,0.72207558,5.6588001,-8.8203497,2,569.72797
8,3,25,0.71780932,5.6588001,-8.8203497,2,569.72797
12,4,23,0.87260956,5.3234801,-10.32499,6,893.828
9,4,14,0.89034832,1.90974,-5.4345598,4,574.53101
12,4,25,0.87260956,4.8534799,-8.7961903,6,889.79596
12,4,25,0.85506499,7.2934799,-12.55195,8,989.91595
12,4,25,0.86433655,5.66748,-9.4506102,6,917.84998
9,4,15,0.88321489,2.0817399,-4.9973698,4,586.54199
9,4,15,0.86831897,3.3017399,-6.8752499,5,636.60199
9,4,15,0.89034832,1.67474,-4.6701598,4,572.51501
9,4,15,0.87434691,2.8947401,-6.5480399,5,622.57501
8,4,15,0.86603659,2.9100001,-5.42733,4,584.57001
8,4,15,0.85292369,4.1300001,-7.3052101,5,634.63
8,4,15,0.87256426,2.0780001,-4.26613,4,572.55896
8,4,15,0.85846543,3.723,-6.9780002,5,620.60297
8,3,25,0.78985292,5.6588001,-8.8203497,2,569.72797
8,3,8,0.9701938,-0.83600003,-1.87877,3,416.33099
3,2,10,0.74476486,5.3909998,-5.2873802,1,290.40298
4,2,13,0.81987846,3.595,-4.5776901,2,447.53198
4,2,13,0.84867907,4.6317601,-4.8440099,2,470.53198
4,2,13,0.7841785,6.6209998,-7.6830702,4,534.72101
4,2,15,0.75827748,4.257,-4.3692899,2,473.65799
4,2,13,0.76911223,4.6389999,-3.94855,3,467.60999
4,2,15,0.75497907,5.7160001,-5.8659401,3,521.70197
4,2,14,0.7821365,5.9060001,-6.63272,3,510.69901
6,2,14,0.81263578,4.5120001,-5.7520099,3,542.69696
5,2,13,0.80308229,4.1459999,-4.8840899,3,485.64899
4,1,14,0.81703037,5.0159998,-4.9938102,3,504.716
4,2,13,0.7885406,4.4569998,-4.5882602,2,446.56299
4,2,14,0.77130252,5.2259998,-6.6809402,3,506.64297
4,2,13,0.78131157,3.822,-4.6989102,2,442.556
5,2,13,0.81828862,4.934,-6.3113198,3,528.66998
4,2,12,0.76817209,5.2030001,-6.82023,3,491.63199
4,4,15,0.77180052,5.6479998,-6.6614499,3,520.67401
8,0,8,0.83848125,4.09548,-5.90728,6,548.54401
6,1,4,0.93159598,-0.36623999,-4.6076698,4,411.388
6,0,4,0.96192634,0.89775997,-5.6210799,4,430.81799
6,1,5,0.93047661,-0.27924001,-4.3263602,4,441.414
8,3,12,0.9038623,1.24,-4.27738,3,557.51196
8,3,12,0.9038623,1.242,-4.27738,3,557.51196
9,3,13,0.91461378,0.89999998,-3.8538401,3,573.51099
9,2,6,1.0659676,-1.18826,-1.7903399,4,442.978
8,4,7,0.91449708,-1.2640001,-2.5431499,4,461.431
8,5,6,0.92866129,-1.876,-2.1979699,4,447.40399
8,4,7,0.91449708,-1.2640001,-2.5431499,4,461.431
8,5,6,0.92866129,-1.876,-2.1979699,4,447.40399
4,4,13,0.80127925,6.5110002,-9.9380302,6,628.83801
9,4,10,0.87998873,2.5320001,-6.16083,7,658.71899
9,4,10,0.87412059,2.8670001,-6.6347499,7,672.74597
10,4,11,0.88312,2.5250001,-6.2112098,7,688.745
9,4,10,0.89895052,2.7219999,-6.4558101,7,676.70898
5,0,7,0.84913391,5.5079999,-8.1667299,6,567.65698
5,0,2,0.88357371,3.227,-6.0920901,6,497.522
5,0,2,0.88357371,3.227,-6.0920901,6,497.522
5,0,4,0.86847144,4.1820002,-6.6210699,6,525.57599
5,0,4,0.86847144,4.1820002,-6.6210699,6,525.57599
5,0,5,0.86162478,4.6240001,-7.1362901,6,539.60297
5,0,5,0.86162478,4.6240001,-7.1362901,6,539.60297
5,0,6,0.85519099,5.066,-7.6515098,6,553.63
5,0,8,0.84342134,5.9499998,-8.6819496,6,581.68396
5,0,9,0.8380248,6.3920002,-9.1971703,6,595.711
5,0,3,0.86847144,4.0300002,-6.74651,6,525.57599
5,0,3,0.86847144,4.0300002,-6.74651,6,525.57599
5,0,4,0.85906208,4.54,-6.8228402,6,539.60297
5,0,4,0.85906208,4.54,-6.8228402,6,539.60297
5,0,5,0.85519099,4.9819999,-7.6515098,6,553.63
5,0,5,0.85519099,4.9819999,-7.6515098,6,553.63
6,0,4,0.84229994,2.85148,-4.4344902,5,396.39499
4,2,14,0.86426002,3.0859201,-3.68454,1,448.50699
4,2,2,1.1844476,-1.472,-0.63554001,2,294.147
4,2,2,1.1844476,-1.472,-0.63554001,2,294.147
4,2,2,1.1844476,-1.472,-0.63554001,2,294.147
4,2,2,1.1844476,-1.472,-0.63554001,2,294.147
4,2,2,1.1342276,-1.704,-0.2463,2,276.15698
4,2,2,1.1342276,-1.704,-0.2463,2,276.15698
4,2,2,1.1342276,-1.704,-0.2463,2,276.15698
4,2,2,1.1342276,-1.704,-0.2463,2,276.15698
4,2,2,1.1949096,-1.472,-0.63554001,2,294.147
2,1,7,0.77032954,3.585,-3.5623,2,303.83701
2,1,7,0.76444334,4.0469999,-3.8895099,2,317.86398
2,1,7,0.77032954,3.687,-3.98472,2,301.82098
2,1,7,0.76444334,4.1490002,-4.3119302,2,315.84799
2,1,7,0.77032954,3.585,-3.5623,2,303.83701
2,1,7,0.76444334,4.0469999,-3.8895099,2,317.86398
2,1,7,0.77032954,3.585,-3.5623,2,303.83701
2,1,7,0.76444334,4.0469999,-3.8895099,2,317.86398
3,1,6,0.93537182,1.9170001,-4.28125,2,307.28601
3,1,6,0.94086272,1.9170001,-4.28125,2,307.28601
3,1,6,0.94645607,1.9170001,-4.28125,2,307.28601
4,2,8,0.9070974,2.7079999,-4.8977699,2,378.409
4,2,9,0.9070974,2.7509999,-5.2112198,2,378.409
9,3,6,0.83517849,4.0975299,-5.9400501,6,662.80798
5,4,2,0.94484919,-1.002,-1.43082,3,295.27399
6,1,24,0.81469244,6.131,-7.07131,3,717.92902
6,1,25,0.81099087,6.573,-7.2730799,3,731.95599
5,1,15,0.83391041,3.859,-5.34097,3,532.66199
5,1,15,0.83391041,3.859,-5.34097,3,532.66199
5,1,15,0.84620684,2.99,-4.6865501,3,504.608
5,1,11,0.86024791,2.4449999,-4.8537402,3,476.55399
5,1,13,0.84620684,2.9749999,-4.9374299,3,504.608
6,1,22,0.82262492,5.2470002,-6.6677699,3,689.875
6,1,21,0.82688171,4.8049998,-6.4660001,3,675.84796
6,1,23,0.81856638,5.6890001,-6.8695402,3,703.90198
6,1,21,0.82688171,4.8049998,-6.4660001,3,675.84796
5,1,14,0.83986151,3.4170001,-5.1392002,3,518.63501
6,1,20,0.82037145,3.1389999,-4.96913,3,601.76898
6,1,22,0.79625005,5.5409999,-6.17975,3,685.93097
7,2,25,0.81199652,5.947,-6.9436898,3,731.95599
6,2,15,0.83535516,3.233,-5.01158,3,532.66199
6,2,15,0.84777021,2.3640001,-4.3571601,3,504.608
6,2,11,0.86195022,1.819,-4.5243502,3,476.55399
7,2,22,0.82371801,4.6209998,-6.3383799,3,689.875
7,2,23,0.81962872,5.0630002,-6.5401502,3,703.90198
6,3,18,0.81451935,3.457,-4.3551302,3,517.69501
6,3,19,0.80944592,3.8989999,-4.5569,3,531.72198
5,2,13,0.91161352,3.4937601,-5.0394301,3,500.54199
6,3,20,0.87034428,4.8317599,-5.6134501,3,599.71899
5,2,13,0.91161352,3.4547601,-5.0394301,3,500.54199
7,4,19,0.81082368,3.273,-4.22751,3,531.72198
7,4,18,0.81594944,2.8310001,-4.0257401,3,517.69501
7,4,18,0.81594944,2.8310001,-4.0257401,3,517.69501
7,4,16,0.82723612,1.947,-3.6222,3,489.64099
7,4,17,0.82140905,2.3889999,-3.8239701,3,503.668
7,4,20,0.87174088,4.20576,-5.28406,3,599.71899
6,3,13,0.91342443,2.8677599,-4.7100401,3,500.54199
6,3,13,0.91342443,2.8287599,-4.7100401,3,500.54199
10,4,12,0.86649138,3.829,-7.0416899,8,742.83698
10,4,12,0.86163664,4.164,-7.5156102,8,756.86401
10,4,12,0.88321412,4.0190001,-7.3366699,8,760.82697
10,4,12,0.88938075,4.4580002,-7.77598,8,777.28198
10,4,11,0.88312,2.447,-6.2112098,7,688.745
10,4,11,0.8774007,2.7820001,-6.6851301,7,702.77197
11,4,12,0.88601428,2.4400001,-6.26159,7,718.771
10,4,11,0.90776199,3.076,-6.9454999,7,723.19
6,3,15,0.82369536,1.643,-4.29603,3,528.67401
5,2,14,0.80862284,3.4300001,-5.76055,3,527.68597
9,5,5,0.97818583,-2.1600001,-1.34495,4,411.315
3,2,5,0.78748578,3.2950001,-4.8852501,5,367.49298
2,1,5,0.75800157,4.9439998,-5.6167698,5,365.521
2,1,4,0.76281345,4.3299999,-5.415,5,351.49399
7,1,6,0.86378276,-0.214,-4.6559601,5,419.46899
8,0,8,0.90144527,-0.602,-5.1002698,5,511.58701
10,3,11,0.93742418,0.366,-3.9872401,4,587.49396
7,3,5,0.87789899,-1.04994,-1.82363,3,323.353
13,9,9,1.168584,-3.402,-1.11341,3,553.27502
9,6,5,1.0554737,-1.638,-1.53825,3,393.31699
5,3,2,0.91093594,-1.821,0.01902,2,243.263
7,4,4,0.99729431,-3.161,-0.28941,2,302.23898
5,3,2,0.89777178,-1.47,-0.49366999,2,241.24699
7,2,2,0.91098994,0.454,-2.16431,4,308.29401
7,4,3,0.93589592,-1.633,-0.45368001,3,311.298
7,4,3,0.95874804,-1.608,-1.0108401,3,297.271
7,5,3,0.96210849,-1.901,-0.55966997,3,297.271
7,3,3,0.92679596,-1.7069401,-1.30786,3,281.272
16,6,27,0.94833094,2.154,-9.3260002,6,1121.032
8,3,17,0.85133249,6.5739999,-9.7060099,6,803.84497
9,7,12,0.86706877,2.4159999,-6.7358198,7,712.71198
8,6,17,0.79576057,5.1599998,-8.6190205,6,738.89001
1,1,0,0.70195526,2.816,-3.1388199,3,179.30699
10,1,15,0.82470185,6.0370002,-8.78899,6,747.85699
10,1,15,0.82470185,6.0370002,-8.78899,6,747.85699
10,1,16,0.81431717,7.4840002,-10.22968,7,809.92798
10,1,16,0.81431717,7.4840002,-10.22968,7,809.92798
10,1,15,0.82861292,5.6360002,-7.7863498,6,733.82996
10,1,15,0.82861292,5.6360002,-7.7863498,6,733.82996
9,5,3,1.0499581,-2.983,0.32142001,3,335.20898
9,5,3,1.0272152,-2.582,-0.68122,3,349.23599
9,5,3,1.0272152,-2.582,-0.68122,3,349.23599
9,5,4,0.96192372,-1.135,-2.1219101,4,411.30701
9,5,4,0.96192372,-1.135,-2.1219101,4,411.30701
13,10,8,1.180388,-3.8559999,-0.43270999,3,507.18201
11,8,9,0.98059011,-3.339,-0.74290001,3,429.38599
11,8,9,0.98059011,-3.339,-0.74290001,3,429.38599
4,1,8,0.76643431,4.1849999,-6.28333,4,472.66599
4,2,6,0.75975412,3.596,-5.6652598,4,430.629
6,5,4,0.99820477,-0.28400001,-0.52658999,2,302.198
5,5,5,0.91923964,2.8239999,-3.5522599,2,324.24399
6,5,4,0.95281124,-0.86500001,-0.44338,2,284.20801
6,5,4,0.95281124,-1.079,-0.14693999,2,284.20801
6,5,4,1.1377969,-0.24600001,-1.28907,2,349.077
6,5,4,1.0338213,-0.45199999,-0.96082002,2,304.62601
6,5,4,1.1377969,-0.24600001,-1.28907,2,349.077
5,5,6,0.86659104,2.154,-2.8626101,2,320.28101
6,5,4,1.1774808,0.54900002,-1.66872,2,367.06699
6,5,5,0.9330883,1.378,-2.2871301,3,364.26898
6,5,4,1.1774808,0.54900002,-1.66872,2,367.06699
6,5,4,1.1774808,0.54900002,-1.66872,2,367.06699
6,5,4,1.0774595,0.34299999,-1.34047,2,322.616
5,5,6,0.90513426,2.9489999,-3.24226,2,338.271
5,5,5,0.91923964,2.8610001,-3.5522599,2,324.24399
6,5,4,0.92478085,0.191,-2.4780099,3,320.241
6,5,4,1.0338213,-0.45199999,-0.96082002,2,304.62601
5,5,5,0.87880027,2.066,-3.17261,2,306.254
6,5,5,0.89702773,0.583,-1.90748,3,346.27899
5,5,5,0.87880027,2.029,-3.17261,2,306.254
5,5,6,0.83598757,4.026,-5.59899,3,382.35199
6,5,5,0.9330883,1.378,-2.2871301,3,364.26898
6,5,5,0.9330883,1.378,-2.2871301,3,364.26898
6,5,4,1.1091385,0.012,-1.60246,2,363.104
6,5,4,0.95281124,-1.079,-0.46039,2,284.20801
16,8,28,0.95194405,-3.4951899,-4.23559,2,826.77496
37,43,70,0.88390267,-3.425,-21.40934,10,2836.322
37,43,71,0.88404685,-2.983,-21.611111,10,2850.3489
12,8,6,1.1267318,-4.0879402,-0.53784001,3,427.203
9,4,7,0.90658784,0.67699999,-3.1875899,4,444.39999
6,3,19,0.8390187,2.063,-5.2445402,2,572.63397
7,2,4,0.97698176,-0.926,-0.93445998,2,255.20999
7,5,16,0.75259638,4.9450002,-6.60537,5,628.90601
7,5,16,0.76649487,4.4629998,-7.0110002,5,642.88898
8,6,16,0.78013939,4.1900001,-6.6490502,5,658.888
5,2,8,0.7842049,4.2509999,-4.4164801,2,354.40198
6,5,7,0.83879417,2.948,-2.4583299,2,344.36301
5,5,7,0.81228101,3.447,-2.60624,2,330.38
5,4,7,0.81228101,3.221,-2.8202801,2,328.36398
5,4,7,0.79747003,4.0310001,-3.41328,2,340.375
5,5,5,0.81228101,4.2350001,-3.56338,2,324.332
5,4,7,0.79747003,4.0310001,-3.41328,2,340.375
4,2,7,0.77122521,4.2600002,-4.3660998,2,324.37601
5,3,8,0.79747003,3.4849999,-3.23261,2,342.39099
6,6,5,0.83879417,3.9619999,-3.2014301,2,340.33099
6,4,8,0.80845785,4.0219998,-3.46366,2,370.401
4,2,7,0.77122521,4.2600002,-4.3660998,2,324.37601
6,4,8,0.82280535,3.2119999,-2.8706601,2,358.38998
5,5,6,0.81228101,3.767,-3.0009501,2,326.34799
6,5,5,0.9330883,1.592,-2.90482,3,364.26898
6,5,4,0.99820477,-0.07,-0.82302999,2,302.198
6,5,4,1.1470844,0.80699998,-1.98211,2,381.09399
6,5,4,0.99820477,0.33500001,-0.81580001,2,302.198
6,5,4,0.99820477,-0.28400001,-0.52658999,2,302.198
6,5,4,1.0774595,0.34299999,-1.34047,2,322.616
6,5,4,1.1774808,0.54900002,-1.66872,2,367.06699
6,5,4,1.1774808,0.54900002,-1.66872,2,367.06699
6,5,4,0.99820477,-0.28400001,-0.84004003,2,302.198
6,5,4,0.96429223,0.986,-2.8576601,3,338.23099
6,5,5,0.89702773,0.79699999,-2.5251701,3,346.27899
6,5,5,0.89702773,1.202,-2.1966901,3,346.27899
6,5,4,0.95281124,-0.46000001,-0.43615001,2,284.20801
6,5,5,0.89702773,0.583,-1.90748,3,346.27899
6,5,5,0.89702773,0.583,-1.90748,3,346.27899
6,5,4,0.95281124,-1.079,-0.14693999,2,284.20801
17,8,2,1.0189978,-3.2039399,-3.5887599,7,672.44501
4,2,6,0.78397191,3.6159999,-3.2333801,2,298.33798
5,1,11,0.82616061,4.303,-5.6723599,3,490.06799
6,4,3,0.91608673,-1.494,-1.29722,2,281.26801
6,4,3,0.91031033,-1.591,-1.32146,2,281.26801
6,4,3,0.88956797,-1.1289999,-1.64867,2,295.29498
6,4,3,0.88956797,-1.1289999,-1.64867,2,295.29498
5,3,3,0.92363679,-0.78200001,-1.84769,2,283.259
5,3,3,0.96393961,-0.90899998,-1.9588799,2,285.68698
5,3,3,0.93876863,-0.34299999,-2.2892799,2,299.71399
6,4,3,0.91152924,-2.3789999,-0.88496,2,266.25699
6,4,3,0.88960713,-1.9170001,-1.21217,2,280.284
6,4,3,0.88960713,-1.9170001,-1.21217,2,280.284
6,4,3,0.89506567,-1.813,-1.21536,2,280.284
7,5,3,0.92893094,-1.386,-1.91152,3,321.293
7,5,3,0.92893094,-1.386,-1.91152,3,321.293
7,5,3,0.93420178,-1.2819999,-1.91471,3,321.293
7,5,3,0.91408706,-0.81999999,-2.24192,3,335.32001
7,5,3,0.91408706,-0.81999999,-2.24192,3,335.32001
7,5,4,0.97393137,-1.293,-1.91759,3,339.28299
7,5,4,0.95176613,-0.83099997,-2.2448001,3,353.31
7,5,4,0.95176613,-0.83099997,-2.2448001,3,353.31
6,4,3,0.94077039,-0.57700002,-2.4377501,3,323.284
6,4,3,0.94077039,-0.57700002,-2.4377501,3,323.284
6,4,3,0.94616365,-0.47299999,-2.4409399,3,323.284
6,4,3,0.97674334,-0.60000002,-2.55213,3,325.71201
6,4,3,0.95357698,-0.138,-2.8793399,3,339.73898
6,4,3,0.95357698,-0.138,-2.8793399,3,339.73898
6,4,3,1.0265522,0.59299999,-3.3829601,3,360.15698
6,4,3,0.95887834,-0.034000002,-2.88253,3,339.73898
7,5,3,0.93648535,-2.0699999,-1.47821,3,306.28198
7,5,3,0.91527677,-1.608,-1.80542,3,320.30899
7,5,3,0.91527677,-1.608,-1.80542,3,320.30899
7,5,3,0.98994541,-0.87699997,-2.3090401,3,340.72699
7,5,3,0.92038202,-1.5039999,-1.80861,3,320.30899
7,5,3,0.90126592,-1.0420001,-2.1358199,3,334.336
7,5,3,0.90126592,-1.0420001,-2.1358199,3,334.336
7,5,4,0.96003467,-1.515,-1.8114901,3,338.29898
14,11,9,1.1346458,-3.9330001,-1.27745,3,561.22998
9,9,12,0.92766571,-0.91799998,-2.6259699,2,468.43799
